7.5M 18:51 elnej-89F0077XIF1996001-F-1994-1995-c-1-v-2-fichier-primaire
7.4M 18:40 eda-62M0002-1992-fd-fr
7.4M 18:40 eda-62M0002-2001-fd-fr
7.4M 18:40 eda-62M0002-1996-fd-fr
7.4M 21:03 STC2528F-fichierdesmnages
7.4M 20:49 pumf-95M00-E-1986-households
7.3M 20:42 nlscy-89M0015-E-1994-1995-c-1-r-2-primary-file
7.2M 18:40 eda-62M0002-1986-fd-fr
7.2M 19:41 ffe-62M0002-E-1986-dhf
7.2M 19:41 ffe-62M0002-E-1996-dhf
7.2M 20:43 NTS-5232-E-2018-trip
7.2M 16:34 citd-E-1990-exp
7.1M 19:41 ffe-62M0002-E-1992-dhf
7.1M 20:42 nphs-82M0009-E-1996-general-file
7.1M 18:54 ensp-82M0009GPE-F-1996-1997-composantemenage-fichiergeneral
7.1M 19:56 hal-82M0003E-E-1991
7.0M 19:43 gss-12M0018-E-2004-c-18-i
6.9M 18:46 edtr-75M0010-F-2009-fichier-personnes
6.9M 16:05 cen-E-1991-eapbon
6.8M 21:44 synthetic-CCHS-E-2010-AnnualComponent
6.8M 16:29 citd-E-1989-exp
6.8M 18:46 edtr-75M0010-F-2010-fichier-personnes
6.7M 15:29 cchs-82M0024-E-2015-nu-cfg
6.7M 19:21 esg-12-M0016-GPF-F-2002-c16-fichier-principal
6.5M 19:35 esla-82-555-F-1991
6.5M 18:52 end-81M0011-F-1990
6.3M 20:48 pumf-95M00-E-1981-household-family
6.3M 19:44 gss-12M0018-E-2010-c-24-tus-ef
6.3M 19:25 esg-12M0024-F-2010-c24-fichier-periodes
6.3M 18:52 end-81M0011-F-1990-suvi
6.3M 20:38 lmas-71F0001-E-1986p
6.2M 20:56 scf-64M0002-E-1991-hife
6.2M 20:38 lmas-71F0001-E-1988p
6.2M 19:25 esg-12M0019-GPF-F-2005-c19-fichiers-periodes
6.2M 19:46 gss-12M0019-E-2005-c-19-e
6.1M 20:38 lmas-71F0001-E-1987p
6.1M 20:39 lmas-71F0001-E-1989p
6.1M 16:06 cen-E-1991-eapbws
6.0M 21:47 synthetic-cchs-E-2012-annual-component
6.0M 20:39 lmas-71F0001-E-1990p
5.9M 20:52 sawp-72M0004-E-1978
5.8M 16:04 cen-E-1991-ea
5.8M 20:38 lmas-71F0001-E-1988-1990p
5.7M 20:52 sawp-72M0004-E-1982
5.7M 20:52 sawp-72M0004-E-1983
5.7M 19:17 escc-82M0013-F-2005-cycle3-HSS3
5.7M 14:25 cchs-82M0013-E-2005-ss3
5.6M 20:59 slid-75F0011XIE-E-2007-person-file
5.6M 16:11 chsd-E-1983-1984-ad
5.6M 18:44 edtr-75F0011XIE-F-2000-Fichier-personne
5.6M 13:21 75F0011XIE-F-2000-Fichier-personne
5.6M 21:00 slid-75M0010-E-2000pr
5.6M 18:44 edtr-75F0011XIE-F-1999-Fichier-personne
5.6M 13:19 75F0011XIE-F-1999-Fichier-personne
5.6M 21:02 slid-E-75M0010-1999pr
5.5M 20:49 pumf-95M00-E-1986-families
5.5M 21:02 STC2528F-fichierdesfamilles
5.5M 20:53 sawp-72M0004-E-1984
5.4M 18:43 edtr-75F0002M-F-fichier-personnes
5.4M 18:45 edtr-75F0011XIE-F-2003-Fichier-personne
5.4M 13:24 75F0011XIE-F-2003-Fichier-personne
5.4M 21:00 slid-75M0010-E-2003pr
5.3M 21:52 synthetic-nphs-Health-Component-3225-E-1998-1999-c-3
5.3M 20:52 sawp-72M0004-E-1979
5.3M 21:01 slid-75M0010XCB-E-2009pr
5.3M 20:42 nlscy-89M0015-E-1996-1997-c-2-primary-file
5.2M 20:53 sawp-72M0004-E-1985
5.2M 20:52 sawp-72M0004-E-1981
5.2M 20:58 siwc-11M0001-E-1981
5.2M 18:43 edtr-75F0011-F-2004-Fichier-personne
5.2M 21:01 slid-75M0010-E-2004pr
5.2M 18:45 edtr-75F0011XIE-F-2006-Fichier-personne
5.2M 13:26 75F0011XIE-F-2006-Fichier-personne
5.2M 20:52 sawp-72M0004-E-1980
5.2M 18:51 elnej-89M0015XCB-F-1996-1997-c2-fichier-primair
5.2M 18:45 edtr-75F0011XIE-F-2002-Fichier-personne
5.2M 13:23 75F0011XIE-F-2002-Fichier-personne
5.2M 21:00 slid-75M0010-E-2002pr
5.1M 21:02 slid-75M0010XCB-E-2011pr
5.1M 21:02 slid-75M0010XCB-E-2010pr
5.1M 19:15 epla-82M0023-2006-fr
5.0M 21:01 slid-75M0010XCB-E-2008pr
5.0M 18:45 edtr-75F0011XIE-F-2005-Fichier-personne
5.0M 13:25 75F0011XIE-F-2005-Fichier-personne
5.0M 21:01 slid-75M0010-E-2005pr
5.0M 18:44 EDTR-75F0011XIE-F-1998-Fichier-personne
5.0M 13:18 75F0011XIE-F-1998-Fichier-personne
5.0M 21:00 slid-75M0010-E-1998pr
5.0M 19:17 escc-82M0013-F-2008-2009
5.0M 13:57 cchs-5146-E-2008-2009-HealthyAging
4.9M 18:44 edtr-75F0011XIE-F-2001-Fichier-personne
4.9M 13:22 75F0011XIE-F-2001-Fichier-personne
4.9M 18:44 edtr-75F0011XIE-F-1997-Fichier-personne
4.9M 13:17 75F0011XIE-F-1997-Fichier-personne
4.9M 21:00 slid-75M0010-E-1997pr
4.9M 20:44 pses-71M0016-E-2005
4.9M 20:52 saff-71M0016-F-2005
4.9M 21:50 synthetic-nphs-General-File-3225-E-1998-1999-c-3
4.9M 16:07 cfs-E-1981
4.9M 18:42 edm-62M0004XCB-F-2002
4.9M 21:01 slid-75M0010XCB-E-2006pr
4.9M 20:58 shs-62M0004-E-2002
4.9M 18:42 edm-62M0004XCB-F-1997
4.9M 20:57 shs-62M0004-E-1997
4.9M 18:44 edtr-75F0011XIE-F-1996-Fichier-personne
4.9M 13:16 75F0011XIE-F-1996-Fichier-personne
4.9M 20:59 slid-75M0010-E-1996pr
4.8M 16:05 cen-E-1991-eapbqu
4.8M 18:48 efc-13M0002-F-1990-par
4.8M 20:53 scf-13M00004-E-1991-ind
4.8M 19:17 escc-82M0013-F-2005-cycle3-HSS1
4.8M 14:23 cchs-82M0013-E-2005-ss1
4.8M 20:39 lmas-71F0001-E-1989j
4.8M 20:58 shs-62M0004-E-2003
4.8M 18:43 edm-62M0004XCB-F-2003
4.8M 18:42 edm-62M0004XCB-F-1999
4.8M 20:57 shs-62M0004-E-1999
4.7M 22:40 yss-82M0011XCB-E-2006-supplemental
4.7M 20:38 lmas-71F0001-E-1986j
4.7M 20:51 RCC-5323-F-2020-AP
